#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
215,"<a href=""https://canucksarmy.com/2015/08/17/how-to-build-a-contender-part-1-war-what-is-it-good-for/"" target=""_blank"">How to Build a Contender - Part 1: WAR, What is it Good For?</a>",https://canucksarmy.com/2015/08/17/how-to-build-a-contender-part-1-war-what-is-it-good-for/,"How to Build a Contender - Part 1: WAR, What is it Good For?",Cam Lawrence,2015,Evaluation,"Skaters, WAR",Canucks Army,,
216,"<a href=""https://archive.is/eRp9z3"" target=""_blank"">Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 1</a>",https://archive.is/eRp9z3,"Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 1",Tom Awad,2009,Evaluation,Skaters,Hockey Prospectus,,
217,"<a href=""http://oddacious.github.io/hall-of-fame-model"" target=""_blank"">Predicting the Hockey Hall of Fame - Who got in, who shouldn't have, who will, and why</a>",http://oddacious.github.io/hall-of-fame-model,"Predicting the Hockey Hall of Fame - Who got in, who shouldn't have, who will, and why",RDJ,2017,Evaluation,"Hall of Fame, Model",Github,,
218,"<a href=""http://www.boysonthebus.com/2014/05/05/the-influence-of-face-offs-and-zone-starts-on-corsi/"" target=""_blank"">The Influence of Face-offs and Zone Starts on Corsi</a>",http://www.boysonthebus.com/2014/05/05/the-influence-of-face-offs-and-zone-starts-on-corsi/,The Influence of Face-offs and Zone Starts on Corsi,Michael Parkatti,2014,Measures,Corsi / Fenwick,Boys on the Bus,,
219,"<a href=""https://hockey-graphs.com/2015/10/29/exploring-the-impact-of-hiring-a-new-coach-or-gm/"" target=""_blank"">Exploring the Impact of New NHL Coaches and GMs</a>",https://hockey-graphs.com/2015/10/29/exploring-the-impact-of-hiring-a-new-coach-or-gm/,Exploring the Impact of New NHL Coaches and GMs,Carolyn Wilke,2015,Coaching,"Coaching, General Management, Team",Hockey Graphs,,
220,"<a href=""https://archive.is/eYxvB"" target=""_blank"">Howe and Why: AHL Translations, Age 23-26</a>",https://archive.is/eYxvB,"Howe and Why: AHL Translations, Age 23-26",Rob Vollman,2011,Evaluation,"AHL, Prospects, Projections",Hockey Prospectus,,
221,"<a href=""http://objectivenhl.blogspot.com/2008/12/shot-quality-part-two-shot-qualify-for.html"" target=""_blank"">Shot Quality Part 2: Shot Quality For</a>",http://objectivenhl.blogspot.com/2008/12/shot-quality-part-two-shot-qualify-for.html,Shot Quality Part 2: Shot Quality For,Tore Purdy,2008,Measures,Shot Quality,Objective NHL,,
222,"<a href=""https://archive.is/f1cwi"" target=""_blank"">Howe and Why: How Good is Snepsts</a>",https://archive.is/f1cwi,Howe and Why: How Good is Snepsts,Rob Vollman,2011,Models,"Snepsts, VUKOTA",Hockey Prospectus,,
223,"<a href=""https://hockey-graphs.com/2016/07/13/measuring-single-game-productivity-an-introduction-to-game-score/"" target=""_blank"">Measuring Single Game Productivity: An Introduction to Game Score</a>",https://hockey-graphs.com/2016/07/13/measuring-single-game-productivity-an-introduction-to-game-score/,Measuring Single Game Productivity: An Introduction to Game Score,Dom Luszczyszyn,2016,Evaluation,"Game Score, Skaters",Hockey Graphs,,
224,"<a href=""https://fivethirtyeight.com/features/the-people-pushing-the-nhl-into-the-advanced-stats-era/"" target=""_blank"">The People Pushing the NHL Into the Advanced Stats Era</a>",https://fivethirtyeight.com/features/the-people-pushing-the-nhl-into-the-advanced-stats-era/,The People Pushing the NHL Into the Advanced Stats Era,Eric Tulsky,2014,Measures,Zone Entries / Exits / Starts,FiveThirtyEight,,
225,"<a href=""https://georgetownsportsanalysis.wordpress.com/2013/10/13/the-true-impact-of-a-hockey-fight/"" target=""_blank"">The True Impact of a Hockey Fight</a>",https://georgetownsportsanalysis.wordpress.com/2013/10/13/the-true-impact-of-a-hockey-fight/,The True Impact of a Hockey Fight,Xavier Weisenreader,2013,Fighting,"Fighting, Skaters",Georgetown Sports Analysis,,
226,"<a href=""http://fooledbygrittiness.blogspot.com/2016/05/regressing-sv-by-danger-zone_31.html"" target=""_blank"">Regressing Sv% by Danger Zone</a>",http://fooledbygrittiness.blogspot.com/2016/05/regressing-sv-by-danger-zone_31.html,Regressing Sv% by Danger Zone,Harry Shomer,2016,Measures,Goalies,Fooled By Grittiness,,
227,"<a href=""https://hockey-graphs.com/2016/12/27/how-good-is-columbus-a-bayesian-approach/#more-14342"" target=""_blank"">How good is Columbus? A Bayesian approach</a>",https://hockey-graphs.com/2016/12/27/how-good-is-columbus-a-bayesian-approach/#more-14342,How good is Columbus? A Bayesian approach,Muneeb Alam,2016,Models,"Bayesian, Blue Jackets, Columbus, NHL, Team",Hockey Graphs,,
228,"<a href=""https://archive.is/fuidw"" target=""_blank"">Numbers on Ice: GVT Player Evaluations</a>",https://archive.is/fuidw,Numbers on Ice: GVT Player Evaluations,Tom Awad,2009,Evaluation,"Skaters, GVT, Goaltenders",Hockey Prospectus,,
229,"<a href=""http://www.boysonthebus.com/2013/03/14/adjusting-corsi-for-zone-starts-and-quality-factors/"" target=""_blank"">Adjusting Corsi for Zone Starts and Quality Factors</a>",http://www.boysonthebus.com/2013/03/14/adjusting-corsi-for-zone-starts-and-quality-factors/,Adjusting Corsi for Zone Starts and Quality Factors,Michael Parkatti,2013,Measures,Corsi / Fenwick,Boys on the Bus,,
230,"<a href=""https://hockey-graphs.com/2016/03/31/matt-hunwick-martin-marincin-and-quality-of-competition/"" target=""_blank"">Matt Hunwick, Martin Marincin and Quality of Competition</a>",https://hockey-graphs.com/2016/03/31/matt-hunwick-martin-marincin-and-quality-of-competition/,"Matt Hunwick, Martin Marincin and Quality of Competition",Dom Luszczyszyn,2016,Measures,Quality of Competition / Teammates,Hockey Graphs,,
231,"<a href=""http://www.boysonthebus.com/2013/11/06/dissecting-the-effectiveness-of-shot-types/"" target=""_blank"">Dissecting the Effectiveness of Shot Types</a>",http://www.boysonthebus.com/2013/11/06/dissecting-the-effectiveness-of-shot-types/,Dissecting the Effectiveness of Shot Types,Michael Parkatti,2013,Measures,Shot Quality,Boys on the Bus,,
232,"<a href=""http://objectivenhl.blogspot.ca/2008/10/goaltending-save-percentage-and-shot.html"" target=""_blank"">Save Percentage and Shots Against</a>",http://objectivenhl.blogspot.ca/2008/10/goaltending-save-percentage-and-shot.html,Save Percentage and Shots Against,Tore Purdy,2008,Evaluation,Goalies,Objective NHL,,
233,"<a href=""https://canucksarmy.com/2015/08/18/how-to-build-a-contender-part-2-the-impact-of-aging/"" target=""_blank"">How to Build a Contender - Part 2: The Impact of Aging</a>",https://canucksarmy.com/2015/08/18/how-to-build-a-contender-part-2-the-impact-of-aging/,How to Build a Contender - Part 2: The Impact of Aging,Cam Lawrence,2015,Evaluation,"Aging Curves, Skaters, WAR",Canucks Army,,
234,"<a href=""http://www.crowdscoutsports.com/game-theory/the-path-to-war/"" target=""_blank"">The Path to WAR</a>",http://www.crowdscoutsports.com/game-theory/the-path-to-war/,The Path to WAR,Cole Anderson,2016,Evaluation,Skaters,Crowd Scout Sports,,
235,"<a href=""https://hockey-graphs.com/2016/06/08/nhl-draft-probability-tool/#more-9010"" target=""_blank"">NHL Draft Probability Tool</a>",https://hockey-graphs.com/2016/06/08/nhl-draft-probability-tool/#more-9010,NHL Draft Probability Tool,Dawson Sprigings,2016,Evaluation,NHL Draft,Hockey Graphs,,
236,"<a href=""https://ownthepuck.wordpress.com/2015/05/25/maximizing-predictive-ability-by-regressing-on-ice-percentages-at-the-player-level/"" target=""_blank"">Maximizing Predictive Ability by Regressing On-ice Percentages (at the Player Level)</a>",https://ownthepuck.wordpress.com/2015/05/25/maximizing-predictive-ability-by-regressing-on-ice-percentages-at-the-player-level/,Maximizing Predictive Ability by Regressing On-ice Percentages (at the Player Level),Domenic Galamini,2015,Evaluation,Skaters,Own The Puck,,
237,"<a href=""https://archive.is/GgkCd"" target=""_blank"">A Closer Look: An intro to zone exits</a>",https://archive.is/GgkCd,A Closer Look: An intro to zone exits,Corey Sznajder,2013,Measures,Zone Exits,Hockey Prospectus,,
238,"<a href=""http://www.boysonthebus.com/2013/09/20/ranking-all-nhl-forwards-by-line-with-adjusted-corsi/"" target=""_blank"">Ranking All NHL Forwards by Line with Adjusted Corsi</a>",http://www.boysonthebus.com/2013/09/20/ranking-all-nhl-forwards-by-line-with-adjusted-corsi/,Ranking All NHL Forwards by Line with Adjusted Corsi,Michael Parkatti,2013,Measures,Corsi / Fenwick,Boys on the Bus,,
239,"<a href=""http://hockeyviz.com/txt/magnusEV"" target=""_blank"">Estimating Individual Impact on NHL 5v5 Shot Rates</a>",http://hockeyviz.com/txt/magnusEV,Estimating Individual Impact on NHL 5v5 Shot Rates,Micah Blake McCurdy,2018,Evaluation,Regression,HockeyViz,,
240,"<a href=""https://hockey-graphs.com/2015/11/24/how-hard-is-it-to-find-good-nhl-goaltending/"" target=""_blank"">How Hard is it to Find Good NHL Goaltending?</a>",https://hockey-graphs.com/2015/11/24/how-hard-is-it-to-find-good-nhl-goaltending/,How Hard is it to Find Good NHL Goaltending?,Nick Emptage,2015,Evaluation,Goalies,Hockey Graphs,,
241,"<a href=""https://hockey-graphs.com/2014/09/23/remembering-dellow-forward-and-defensemen-goal-regression-corsi/"" target=""_blank"">Remembering Dellow: A few graphs to convince you on Corsi</a>",https://hockey-graphs.com/2014/09/23/remembering-dellow-forward-and-defensemen-goal-regression-corsi/,Remembering Dellow: A few graphs to convince you on Corsi,Garret Hohl,2014,Measures,Corsi,Hockey Graphs,,
242,"<a href=""https://archive.is/h3k9l"" target=""_blank"">AHL-NHL Equivalencies in a Lockout Year</a>",https://archive.is/h3k9l,AHL-NHL Equivalencies in a Lockout Year,Eric Tulsky,2012,Evaluation,NHL Draft,NHL Numbers,,
243,"<a href=""http://www.boysonthebus.com/2013/10/30/combining-shot-differentials-with-shot-distances/"" target=""_blank"">Combining Shot Differentials with Shot Distances</a>",http://www.boysonthebus.com/2013/10/30/combining-shot-differentials-with-shot-distances/,Combining Shot Differentials with Shot Distances,Michael Parkatti,2013,Measures,Shot Quality,Boys on the Bus,,
244,"<a href=""http://objectivenhl.blogspot.com/2010/10/corsi-corrected-for-schedule-difficulty.html"" target=""_blank"">Corsi Corrected for Schedule Difficulty",http://objectivenhl.blogspot.com/2010/10/corsi-corrected-for-schedule-difficulty.html,Corsi Corrected for Schedule Difficulty,Tore Purdy,2010,Measures,"Corsi, Fenwick",Objective NHL,,
245,"<a href=""http://objectivenhl.blogspot.com/2009/02/ive-often-wondered-if-outcome-of-teams.html"" target=""_blank"">Coming off of a Win/Loss: The Effect of Prior Results</a>",http://objectivenhl.blogspot.com/2009/02/ive-often-wondered-if-outcome-of-teams.html,Coming off of a Win/Loss: The Effect of Prior Results,Tore Purdy,2009,Miscellaneous,,Objective NHL,,
246,"<a href=""http://thats-offside.blogspot.it/2014/06/adjusting-scoring-rate-for-age-in-chl.html"" target=""_blank"">Adjusting Scoring Rate for Age in CHL Prospects</a>",http://thats-offside.blogspot.it/2014/06/adjusting-scoring-rate-for-age-in-chl.html,Adjusting Scoring Rate for Age in CHL Prospects,Rhys Jessop,2014,Evaluation,NHL Draft,That's Offside,,
247,"<a href=""https://canucksarmy.com/2015/08/19/how-to-build-a-contender-part-3-cap-management/"" target=""_blank"">How to Build a Contender - Part 3: Cap Management</a>",https://canucksarmy.com/2015/08/19/how-to-build-a-contender-part-3-cap-management/,How to Build a Contender - Part 3: Cap Management,Cam Lawrence,2015,Evaluation,"Free Agency, NHL, Skaters, WAR",Canucks Army,,
248,"<a href=""https://archive.is/HGFyH"" target=""_blank"">The Myth of the Hot Goalie: Consistent Goaltenders vs. Inconsistent Goaltenders</a>",https://archive.is/HGFyH,The Myth of the Hot Goalie: Consistent Goaltenders vs. Inconsistent Goaltenders,Eric Tulsky,2012,Evaluation,Goalies,NHL Numbers,,
249,"<a href=""http://blueseatblogs.com/2016/07/24/putting-together-hockey-systems-stats-tools-talent-evaluation-primer/"" target=""_blank"">Putting it all together: A hockey systems, stats, tools, and talent evaluation primer</a>",http://blueseatblogs.com/2016/07/24/putting-together-hockey-systems-stats-tools-talent-evaluation-primer/,"Putting it all together: A hockey systems, stats, tools, and talent evaluation primer",Dave Shapiro,2016,Introduction,"Corsi, Scoring Chances, Usage, Deployment",Blue Seat Blogs,,
250,"<a href=""http://www.crowdscoutsports.com/game-theory/expected-goals-xg-limitations-a-deep-dive/"" target=""_blank"">Expected Goals Limitations - A Deep Dive</a>",http://www.crowdscoutsports.com/game-theory/expected-goals-xg-limitations-a-deep-dive/,Expected Goals Limitations - A Deep Dive,Cole Anderson,2018,Evaluation,"xG, Expected Goals, Limitations, ",Crowd Scout Sports,,
251,"<a href=""https://hockey-graphs.com/2015/11/13/are-there-unintended-consequences-to-the-coachs-challenge/"" target=""_blank"">Are There Unintended Consequences To The Coach's Challenge?</a>",https://hockey-graphs.com/2015/11/13/are-there-unintended-consequences-to-the-coachs-challenge/,Are There Unintended Consequences To The Coach's Challenge?,Petbugs,2018,Evaluation,"Coach's challenge, Goal-Scoring, Offside calls",Hockey-Graphs,,
252,"<a href=""https://hockey-graphs.com/2017/02/23/mikael-granlund-playing-behind-the-net-predicting-goals/"" target=""_blank"">Mikael Granlund, Playing Behind the Net, and Predicting Goals</a>",https://hockey-graphs.com/2017/02/23/mikael-granlund-playing-behind-the-net-predicting-goals/,"Mikael Granlund, Playing Behind the Net, and Predicting Goals",Ryan Stimson,2017,Evaluation,Skaters,Hockey Graphs,,
253,"<a href=""https://archive.is/I0iaE"" target=""_blank"">Up and Coming: Developing the Inductinator</a>",https://archive.is/I0iaE,Up and Coming: Developing the Inductinator,Iain Fyffe,2010,Evaluation,Hall of Fame,Hockey Prospectus,,
254,"<a href=""https://hockey-graphs.com/2016/10/26/introducing-box-plus-minus/"" target=""_blank"">Introducing Box Plus-Minus</a>",https://hockey-graphs.com/2016/10/26/introducing-box-plus-minus/,Introducing Box Plus-Minus,Dawson Sprigings,2016,Evaluation,Skaters,Hockey Graphs,,
255,"<a href=""https://hockey-graphs.com/2019/01/14/reviving-regularized-adjusted-plus-minus-for-hockey/"" target=""_blank"">Reviving Regularized Adjusted Plus Minus For Hockey</a>",https://hockey-graphs.com/2019/01/14/reviving-regularized-adjusted-plus-minus-for-hockey/,Reviving Regularized Adjusted Plus Minus For Hockey,Evolving Wild,2019,Measures,"RAPM, Plus Minus",Hockey-Graphs,,
256,"<a href=""https://hockey-graphs.com/2014/11/25/schedule-adjustment-for-counting-stats/"" target=""_blank"">Schedule Adjustment for Counting Stats</a>",https://hockey-graphs.com/2014/11/25/schedule-adjustment-for-counting-stats/,Schedule Adjustment for Counting Stats,Micah Blake McCurdy,2014,Measures,Corsi / Fenwick,Hockey Graphs,,
257,"<a href=""http://www.boysonthebus.com/2013/11/04/the-value-of-rebounds/"" target=""_blank"">The Value of Rebounds</a>",http://www.boysonthebus.com/2013/11/04/the-value-of-rebounds/,The Value of Rebounds,Michael Parkatti,2013,Measures,Shot Quality,Boys on the Bus,,
258,"<a href=""http://donttellmeaboutheart.blogspot.com/2015/06/updated-xsv-save-percentage-accounting.html"" target=""_blank"">Updated xSV% - Save Percentage Accounting for Shot Quality</a>",http://donttellmeaboutheart.blogspot.com/2015/06/updated-xsv-save-percentage-accounting.html,Updated xSV% - Save Percentage Accounting for Shot Quality,Dawson Sprigings,2015,Evaluation,Goalies,Don't Tell Me About Heart,,
259,"<a href=""http://nhlnumbers.com/2014/10/24/score-adjusted-pdo"" target=""_blank"">Score-Adjusted PDO</a>",http://nhlnumbers.com/2014/10/24/score-adjusted-pdo,Score-Adjusted PDO,Petbugs,2014,Miscellaneous,"PDO, Team",Hockey Graphs,,
260,"<a href=""https://hockey-graphs.com/2019/01/17/wins-above-replacement-the-process-part-2/"" target=""_blank"">Wins Above Replacement - The Process, Part 2</a>",https://hockey-graphs.com/2019/01/17/wins-above-replacement-the-process-part-2/,"Wins Above Replacement - The Process, Part 2",Evolving Wild,2019,Measures,WAR,Hockey-Graphs,,
261,"<a href=""https://archive.is/IykJj"" target=""_blank"">Numbers on Ice: Fixing Plus/Minus</a>",https://archive.is/IykJj,Numbers on Ice: Fixing Plus/Minus,Tom Awad,2009,Evaluation,"Skaters, Plus/Minus, RPM",Hockey Prospectus,,
262,"<a href=""https://hockey-graphs.com/2015/05/21/why-possession-and-zone-entries-matter-two-quick-charts/"" target=""_blank"">Why Possession and Zone Entries Matter: Two Quick Charts</a>",https://hockey-graphs.com/2015/05/21/why-possession-and-zone-entries-matter-two-quick-charts/,Why Possession and Zone Entries Matter: Two Quick Charts,Benjamin Wendorf,2015,Measures,"Skaters, Zone Entries",Hockey Graphs,,
263,"<a href=""https://hockey-graphs.com/2017/01/19/expected-primary-points-are-a-better-predictor-of-future-scoring-than-shots-points/"" target=""_blank"">Expected Primary Points are a better predictor of future scoring than Shots, Points</a>",https://hockey-graphs.com/2017/01/19/expected-primary-points-are-a-better-predictor-of-future-scoring-than-shots-points/,"Expected Primary Points are a better predictor of future scoring than Shots, Points",Ryan Stimson,2017,Evaluation,Skaters,Hockey Graphs,,
264,"<a href=""https://archive.is/J1xf6"" target=""_blank"">Adjusting Time On Ice: Can 5v5% tell us more about TOI?</a>",https://archive.is/J1xf6,Adjusting Time On Ice: Can 5v5% tell us more about TOI?,Benjamin Wendorf,2012,Measures,"Skaters, Time on Ice Percentage, TOI%",NHL Numbers,,
265,"<a href=""https://hockey-graphs.com/2016/10/24/a-primer-on-dtmabouthearts-war-model/"" target=""_blank"">A Primer on @DTMAboutHeart’s WAR Model</a>",https://hockey-graphs.com/2016/10/24/a-primer-on-dtmabouthearts-war-model/,A Primer on @DTMAboutHeart’s WAR Model,Dawson Sprigings,2016,Evaluation,Skaters,Hockey Graphs,,
266,"<a href=""https://fivethirtyeight.com/features/hockey-refs-are-out-to-get-you-if-they-already-got-the-other-guy/"" target=""_blank"">Hockey Refs Are Out to Get You (If They Already Got The Other Guy)</a>",https://fivethirtyeight.com/features/hockey-refs-are-out-to-get-you-if-they-already-got-the-other-guy/,Hockey Refs Are Out to Get You (If They Already Got The Other Guy),Noah Davis,2015,Measures,Penalties,Five Thirty Eight,,
267,"<a href=""https://puckplusplus.com/2014/11/23/shot-location-data-and-strategy-ii-evaluating-individual-defensive-play/"" target=""_blank"">Shot Location Data and Strategy II: Evaluating Individual Defensive Play</a>",https://puckplusplus.com/2014/11/23/shot-location-data-and-strategy-ii-evaluating-individual-defensive-play/,Shot Location Data and Strategy II: Evaluating Individual Defensive Play,Matt Cane,2014,Evaluation,"Defense, Shot Quality, Skaters",Puck++,,
268,"<a href=""https://hockey-graphs.com/2015/01/22/trading-off-how-much-possession-can-my-team-surrender-and-still-win/"" target=""_blank"">Trading Off: How much possession can my team surrender and still win?</a>",https://hockey-graphs.com/2015/01/22/trading-off-how-much-possession-can-my-team-surrender-and-still-win/,Trading Off: How much possession can my team surrender and still win?,Benjamin Wendorf,2015,Evaluation,"Corsi, Team",Hockey Graphs,,
269,"<a href=""http://thehockeywriters.com/re-evaluating-open-corsi/"" target=""_blank"">Re-evaluating Open Corsi</a>",http://thehockeywriters.com/re-evaluating-open-corsi/,Re-evaluating Open Corsi,Josh Weissbock,2014,Measures,"Zone Entries/Exits/Starts, Corsi",The Hockey Writers,,
270,"<a href=""https://hockey-graphs.com/2017/05/15/identifying-team-playing-styles-with-clustering/"" target=""_blank"">Identifying Team Playing Styles with Clustering</a>",https://hockey-graphs.com/2017/05/15/identifying-team-playing-styles-with-clustering/,Identifying Team Playing Styles with Clustering,Ryan Stimson,2017,Strategy,"Playing Styles, Team",Hockey Graphs,,
271,"<a href=""https://hockey-graphs.com/2017/12/01/behind-the-numbers-what-makes-a-stat-good/"" target=""_blank"">Behind The Numbers - What Makes A Stat Good?</a>",https://hockey-graphs.com/2017/12/01/behind-the-numbers-what-makes-a-stat-good/,Behind The Numbers - What Makes A Stat Good?,Garret Hohl,2017,Evaluation,"Stats, Evaluation, Correlation, ",Hockey-Graphs,,
272,"<a href=""https://archive.is/KBdVI"" target=""_blank"">Predicting Future NHL Scoring Success with NHLe Thesholds and Related Factors</a>",https://archive.is/KBdVI,Predicting Future NHL Scoring Success with NHLe Thesholds and Related Factors,Byron Bader,2015,Evaluation,"NHL Draft, Prospects, Projections",NHL Numbers,,
273,"<a href=""http://objectivenhl.blogspot.ca/2011/05/loose-ends-part-iii-c-power-play.html"" target=""_blank"">Loose Ends - Part III C: The Powerplay</a>",http://objectivenhl.blogspot.ca/2011/05/loose-ends-part-iii-c-power-play.html,Loose Ends - Part III C: The Powerplay,Tore Purdy,2011,Measures,Powerplay,Objective NHL,,
274,"<a href=""http://donttellmeaboutheart.blogspot.com/2015/03/xsv-save-percentage-accounting-for-shot.html"" target=""_blank"">xSV% - Save Percentage Accounting for Shot Quality</a>",http://donttellmeaboutheart.blogspot.com/2015/03/xsv-save-percentage-accounting-for-shot.html,xSV% - Save Percentage Accounting for Shot Quality,Dawson Sprigings,2015,Evaluation,Goalies,Don't Tell Me About Heart,,
275,"<a href=""https://harryshomer.github.io/2018/09/21/nhl-game-prediction-model.html"" target=""_blank"">NHL Game Prediction Model</a>",https://harryshomer.github.io/2018/09/21/nhl-game-prediction-model.html,NHL Game Prediction Model,Harry Shomer,2018,Evaluation,"Prediction, Marcels, Bagging",Harrys Homer,,
276,"<a href=""http://objectivenhl.blogspot.com/2010/04/repeatability-of-special-teams.html"" target=""_blank"">The Repeatability of Special Teams Performance</a>",http://objectivenhl.blogspot.com/2010/04/repeatability-of-special-teams.html,The Repeatability of Special Teams Performance,Tore Purdy,2010,Measures,Powerplay,Objective NHL,,
277,"<a href=""http://donttellmeaboutheart.blogspot.com/2015/06/clustering-nhl-forwards-using-k-means.html"" target=""_blank"">Clustering NHL Forwards (using k-means)</a>",http://donttellmeaboutheart.blogspot.com/2015/06/clustering-nhl-forwards-using-k-means.html,Clustering NHL Forwards (using k-means),Dawson Sprigings,2015,Evaluation,Skaters,Don't Tell Me About Heart,,
278,"<a href=""https://hockey-graphs.com/2017/05/08/stop-worrying-about-shot-parity/"" target=""_blank"">Stop Worrying About Shot Parity</a>",https://hockey-graphs.com/2017/05/08/stop-worrying-about-shot-parity/,Stop Worrying About Shot Parity,Shawn Ferris,2017,Measures,"Corsi / Fenwick, Shots",Hockey Graphs,,
279,"<a href=""https://hockey-graphs.com/2015/09/21/prospect-cohort-success-evaluation-of-results/"" target=""_blank"">Prospect Cohort Success - Evaluation of Results</a>",https://hockey-graphs.com/2015/09/21/prospect-cohort-success-evaluation-of-results/,Prospect Cohort Success - Evaluation of Results,Cam Lawrence,2015,NHL Draft,"Draft, NHL, Prospects",Hockey Graphs,,
280,"<a href=""https://hockey-graphs.com/2017/03/07/second-units-and-zone-entries-why-teams-should-go-all-in-on-the-4-forward-power-play/"" target=""_blank"">Second Units and Zone Entries: Why Teams Should Go All-In on the 4 Forward Powerplay</a>",https://hockey-graphs.com/2017/03/07/second-units-and-zone-entries-why-teams-should-go-all-in-on-the-4-forward-power-play/,Second Units and Zone Entries: Why Teams Should Go All-In on the 4 Forward Powerplay,Matt Cane,2017,Measures,Powerplay,Hockey Graphs,,
281,"<a href=""https://archive.is/kpCLZ"" target=""_blank"">Up and Coming: Projecting Goaltenders</a>",https://archive.is/kpCLZ,Up and Coming: Projecting Goaltenders,Iain Fyffe,2009,Evaluation,"NHL Draft, Goaltenders, Prospects",Hockey Prospectus,,
282,"<a href=""https://hockey-graphs.com/2014/09/24/nhl-coach-changes-history-good-bad-coaches/"" target=""_blank"">Using NHL coaching changes to identify historically good and bad coaches</a>",https://hockey-graphs.com/2014/09/24/nhl-coach-changes-history-good-bad-coaches/,Using NHL coaching changes to identify historically good and bad coaches,Benjamin Wendorf,2014,Coaching,"Coaching, Team",Hockey Graphs,,
283,"<a href=""https://ownthepuck.wordpress.com/2015/01/02/update-usage-adjusted-possession-numbers/"" target=""_blank"">Update: Usage Adjusted Possession Numbers</a>",https://ownthepuck.wordpress.com/2015/01/02/update-usage-adjusted-possession-numbers/,Update: Usage Adjusted Possession Numbers,Domenic Galamini,2015,Measures,"Corsi, Fenwick, Skaters",Own The Puck,,
284,"<a href=""https://archive.is/KxGZw"" target=""_blank"">Shot Quality and Expected Goals - Part 1.5</a>",https://archive.is/KxGZw,Shot Quality and Expected Goals - Part 1.5,Emmanuel Perry,2016,Measures,"Expected Goals, Shot Quality",Corsica,,
285,"<a href=""https://hockey-graphs.com/2016/06/15/seal-adjusted-scoring-and-why-it-matters-for-prospects/"" target=""_blank"">SEAL-Adjusted Scoring and why it matters for prospects</a>",https://hockey-graphs.com/2016/06/15/seal-adjusted-scoring-and-why-it-matters-for-prospects/,SEAL-Adjusted Scoring and why it matters for prospects,Garret Hohl,2016,Evaluation,NHL Draft,Hockey Graphs,,
286,"<a href=""https://archive.is/LAl0d/"" target=""_blank"">Hockey and Euclid: Predicting AAV With K-Nearest Neighbors</a>",https://archive.is/LAl0d/,Hockey and Euclid: Predicting AAV With K-Nearest Neighbors,Emmanuel Perry,2016,NHL Free Agency,"Free Agency, NHL",Corsica,,
287,"<a href=""https://hockey-graphs.com/2015/09/10/rate-metrics-matter/"" target=""_blank"">Rate Metrics Matter</a>",https://hockey-graphs.com/2015/09/10/rate-metrics-matter/,Rate Metrics Matter,Conor Tompkins,2015,Evaluation,"Metrics, Rate, Skaters",Hockey Graphs,,
288,"<a href=""https://www.pensionplanpuppets.com/2018/5/28/17401700/has-the-aging-curve-changed-part-1?utm_campaign=pensionplanpuppets&utm_content=fan-post%253Atop&utm_medium=social&utm_source=twitter"" target=""_blank"">Has the Aging Curve Changed?</a>",https://www.pensionplanpuppets.com/2018/5/28/17401700/has-the-aging-curve-changed-part-1?utm_campaign=pensionplanpuppets&utm_content=fan-post%253Atop&utm_medium=social&utm_source=twitter,Has the Aging Curve Changed?,Jeremie Spagnolo,2018,Evaluation,Aging Curve,Pension Plan Puppets,,
289,"<a href=""http://donttellmeaboutheart.blogspot.com/2014/05/nhl-entry-draft-drafting-goalies-in.html"" target=""_blank"">NHL Entry Draft - Drafting Goalies in the Late Rounds</a>",http://donttellmeaboutheart.blogspot.com/2014/05/nhl-entry-draft-drafting-goalies-in.html,NHL Entry Draft - Drafting Goalies in the Late Rounds,Dawson Sprigings,2014,NHL Draft,"Goalies, NHL Draft",Don't Tell Me About Heart,,
290,"<a href=""http://donttellmeaboutheart.blogspot.com/2014/11/nhl-draft-pick-value-chart.html"" target=""_blank"">NHL Draft Pick Value Chart</a>",http://donttellmeaboutheart.blogspot.com/2014/11/nhl-draft-pick-value-chart.html,NHL Draft Pick Value Chart,Dawson Sprigings,2014,NHL Draft,NHL Draft,Don't Tell Me About Heart,,
291,"<a href=""https://hockey-graphs.com/2015/05/07/nhl-shot-quality-league-variance-error-shot-distance/"" target=""_blank"">Another shot quality quandary: League variance, evolution, error</a>",https://hockey-graphs.com/2015/05/07/nhl-shot-quality-league-variance-error-shot-distance/,"Another shot quality quandary: League variance, evolution, error",Benjamin Wendorf,2015,Evaluation,"Shot Quality, Skaters",Hockey Graphs,,
292,"<a href=""https://hockey-graphs.com/2014/01/15/nhl-history-possession-and-winning-the-stanley-cup/"" target=""_blank"">NHL Team History, Possession, and Winning the Stanley Cup</a>",https://hockey-graphs.com/2014/01/15/nhl-history-possession-and-winning-the-stanley-cup/,"NHL Team History, Possession, and Winning the Stanley Cup",Benjamin Wendorf,2014,Measures,"Corsi, Team",Hockey Graphs,,
