Title,Archive link,Primary Author(s),Year,Topic,Source,Keywords
"Howe and Why: Goals Versus Salary, 2011-12",,Rob Vollman,2012,Evaluation,Hockey Prospectus,"Goals Versus Threshold, GVT"
The Effect of Zone Starts on Offensive Zone Production,,Rob Pettapiece,2012,Measures,NHL Numbers,Zone Entries / Exits / Starts
A Competition Metric Based on Ice Time,,Eric Tulsky,2012,Measures,NHL Numbers,Quality of Competition / Teammates
Tender Touches: An Attempt to Measure Martin Brodeur's Puckhandling,,Bruce McCurdy,2012,Evaluation,Edmonton Journal,"Goalies, Martin Brodeur, Puckhandling"
"How goalies age, and the survivorship problem",,Eric Tulsky,2012,Evaluation,NHL Numbers,"Aging Curves, Goalies"
More on the Advantages of Puck Possession over Dump and Chase,,Eric Tulsky,2012,Measures,NHL Numbers,Zone Entries / Exits / Starts
Howe and Why: Passes,,Rob Vollman,2012,Measures,Hockey Prospectus,"Passes, Passing"
"Do Zone Starts Really Matter and If So, How Much?",,David Johnson,2013,Measures,Hockey Analysis,Zone Entries/Exits/Starts
Stats Made Simple Part 2: Score Close and Score Effects,,Jen Lute Costella,2013,Introduction,Second City Hockey,"Score Close, Corsi, Score Effects"
Stats Made Simple Part 1: Corsi and Fenwick,,Jen Lute Costella,2013,Introduction,Second City Hockey,"Corsi, Fenwick"
How to forecast NHL goaltending performance,,Eric Tulsky,2013,Evaluation,SB Nation,Goaltenders
The value of the first goal,,Eric Tulsky,2013,Miscellaneous,SB Nation,"First, Scoring, Team"
Theoretical Goaltending Aging Curve,,Steve Burtch,2013,Evaluation,Pension Plan Puppets,"Goaltenders, Aging Curve"
What statistics are meaningful in a given season?,,Steve Burtch,2013,Introduction,Pension Plan Puppets,"Corsi, Fenwick, PDO"
Making Use of New Ideas - dCorsi,,Steve Burtch,2013,Measures,Pension Plan Puppets,Corsi / Fenwick
How to Bring Shot Quality into Player Evaluation,,Eric Tulsky,2013,Measures,Outnumbered,Shot Quality
Special Teams Part I: Minor Penalty Opportunities and Time,,SnarkSD,2013,Measures,Fear the Fin,Powerplay
Special Teams Part II: What Drives Power Play and Penalty Kill Success?,,SnarkSD,2013,Measures,Fear the Fin,Powerplay
Why Possession Matters - A Visual Guide To Fenwick,,Chris Boyle,2013,Measures,Eyes On The Prize,"Playoffs, Prediction, Fenwick"
Getting the Most for Your Money,,Eric Tulsky,2013,NHL Free Agency,Broadstreet Hockey,"Free Agency, NHL"
"Time spares no man, except maybe the PP specialist",,Eric Tulsky,2013,Measures,Broadstreet Hockey,Powerplay
Simplify scoring: drop the pointless secondary assist,,Eric Tulsky,2013,Measures,Broadstreet Hockey,"Assists, Secondary, Skaters"
Hidden value: Penalty Differential,,Eric Tulsky,2013,Evaluation,Broadstreet Hockey,"Penalties, Skaters"
Fooled by randomness: How to evaluate defensemen,,Eric Tulsky,2013,Evaluation,Broadstreet Hockey,"Defensemen, Skaters"
How do shooting percentage and shot rates each impact scoring,,Eric Tulsky,2013,Evaluation,Broadstreet Hockey,"Aging Curves, Skaters"
NHL draft: What does it cost to trade up?,,Eric Tulsky,2013,Measures,Broadstreet Hockey,NHL Draft
Analyzing prospect usage,,Eric Tulsky,2013,Evaluation,Broadstreet Hockey,NHL Draft
Why goalies should almost never start back-to-back games,,Eric Tulsky,2013,Evaluation,Broadstreet Hockey,"Back-to-Back, Goalies"
Total Hockey Rating (THoR): A Comprehensive Statistical Rating of National Hockey League Forwards and Defensemen based upon all On-Ice Events,,Michael Schuckers,2013,Evaluation,Sloan Sports Conference,Skaters
"Using Zone Entry Data To Separate Offensive, Neutral, And Defensive Zone Performance",,Eric Tulsky,2013,Measures,Sloan Sports Conference,Zone Entries / Exits / Starts
Estimating Player Contribution in Hockey with Regularized Logistic Regression,,Robert Gramacy,2013,Evaluation,Arxiv,Skaters
The Pythagorean Won-Loss Formula and Hockey,,Kevin Dayaratna,2013,Miscellaneous,Arxiv,
Competing Process Hazard Function Models for Player Ratings in Ice Hockey,,A.C. Thomas,2013,Evaluation,Arxiv,Skaters
"Defense, Defensemen, and the Draft",,Rhys Jessop,2013,Evaluation,That's Offside,"Defenders, Draft, NHL, Prospects, Skaters"
Piecing the Shot Puzzle Together,,Michael Parkatti,2013,Measures,Boys on the Bus,Shot Quality
Testing the Predictive Value of Expected Goals vs Other Metrics,,Michael Parkatti,2013,Measures,Boys on the Bus,Shot Quality
An Evaluation of the Total Hockey Ranking (THoR) - Part I,,Michael Schuckers,2013,Evaluation,Statistical Sports Consulting,Skaters
The Benefits of the 4-Forward Powerplay,,Matt Cane,2013,Measures,Puck++,Powerplay
A Graphic Guide to Advanced Hockey Stats,,Petbugs,2013,Introduction,Canucks Army,"Fenwick, Corsi"
The Value of Rebounds,,Michael Parkatti,2013,Measures,Boys on the Bus,Shot Quality
Combining Shot Differentials with Shot Distances,,Michael Parkatti,2013,Measures,Boys on the Bus,Shot Quality
Ranking All NHL Forwards by Line with Adjusted Corsi,,Michael Parkatti,2013,Measures,Boys on the Bus,Corsi / Fenwick
A Closer Look: An intro to zone exits,,Corey Sznajder,2013,Measures,Hockey Prospectus,Zone Exits
Dissecting the Effectiveness of Shot Types,,Michael Parkatti,2013,Measures,Boys on the Bus,Shot Quality
Adjusting Corsi for Zone Starts and Quality Factors,,Michael Parkatti,2013,Measures,Boys on the Bus,Corsi / Fenwick
The True Impact of a Hockey Fight,,Xavier Weisenreader,2013,Fighting,Georgetown Sports Analysis,"Fighting, Skaters"
Advanced Stats Crash Course: Possession (Part 1),,Kent Wilson,2013,Introduction,NHL Numbers,"Corsi, Possession"
An Evaluation of the Total Hockey Ranking (THoR) - Part II,,Michael Schuckers,2013,Evaluation,Statistical Sports Consulting,Skaters
Machine Learning And Hockey - Is There A Theoretical Limit On Predictions?,,Josh Weissbock,2013,Evaluation,NHL Numbers,"Machine Learning, Luck, Standings"
Slicing and Dicing: Re-Examining Data on Draft Eligible D-Men,,Rhys Jessop,2013,Evaluation,That's Offside,NHL Draft
The Faker's Guide to Advanced Stats in the NHL,,Sean McIndoe,2013,Introduction,Grantland,"Corsi, Fenwick, Possession, Plus/Minus"
An Evaluation of the Total Hockey Ranking (THoR) - Part III,,Michael Schuckers,2013,Evaluation,Statistical Sports Consulting,Skaters
Bayesian Approach to Analyzing Goalies - Part 2: An Example,,Brian MacDonald,2013,Evaluation,Greater Than Plus Minus,"Goalies, Bayesian, Save Percentage, SV%"
Bayesian Approach to Analyzing Goalies - Part 4,,Brian MacDonald,2013,Evaluation,Greater Than Plus Minus,"Goalies, Bayesian, Save Percentage, SV%"
Bayesian Approach to Analyzing Goalies - Part 1,,Brian MacDonald,2013,Evaluation,Greater Than Plus Minus,"Goalies, Bayesian, Save Percentage, SV%"
Bayesian Approach to Analyzing Goalies - Part 3: Updating Estimates with More Data,,Brian MacDonald,2013,Evaluation,Greater Than Plus Minus,"Goalies, Bayesian, Save Percentage, SV%"
Why Zone Starts Don't Matter Much,,David Johnson,2014,Measures,Hockey Analysis,Zone Entries/Exits/Starts
"Introducing ""Rush"" Shots",,David Johnson,2014,Measures,Hockey Analysis,Shot Quality
How to project NHL scoring rates,,Eric Tulsky,2014,Evaluation,SB Nation,"Aging Curves, Skaters"
How shot attempt differential changes with age,,Eric Tulsky,2014,Evaluation,SB Nation,"Aging Curves, Skaters"
How NHL scoring rates change with age,,Eric Tulsky,2014,Evaluation,SB Nation,"Aging Curves, Skaters"
Which type of NHL forward ages most gracefully?,,Eric Tulsky,2014,Evaluation,SB Nation,"Aging Curves, Skaters"
Quantifying the added importance of recent data,,Eric Tulsky,2014,Evaluation,SB Nation,Goalies
Using Zone Entries to Measure Defensive Contributions,,Eric Tulsky,2014,Measures,Outnumbered,Zone Entries / Exits / Starts
"Forecasting Success in the
National Hockey League using In-Game Statistics and Textual Data",,Josh Weissbock,2014,Evaluation,University of Ottawa,"Models, Analytics"
Accounting for Rink Effects in the National Hockey League’s Real Time Scoring System,,Michael Schuckers,2014,Measures,Stats Sports Consulting,Corsi / Fenwick
Accounting for Rink Effects in the National Hockey League's Real Time Scoring System,,Michael Schuckers,2014,Evaluation,PDF,"Rink Bias, Recording Bias, Rink Effects"
Outperforming PDO: Mirages and Oases in the NHL,,Benjamin Wendorf,2014,Measures,Hockey Graphs,"PDO, Team"
Year-to-Year Repeatability of New Goalie Stats,,Dawson Sprigings,2014,Evaluation,Don't Tell Me About Heart,Goalies
Schedule Adjustment for Counting Stats,,Micah Blake McCurdy,2014,Measures,Hockey-Graphs,"Schedule, Home Ice Advantage, Single Game Prediction"
"CHL Goalies, Decision Making, and Hockey Canada's Failings",,Rhys Jessop,2014,Evaluation,That's Offside,"Goalies, NHL Draft"
Shot Location Data and Strategy: Off-Hand Defencemen,,Matt Cane,2014,Evaluation,Puck++,Defenders
Corsi Against Doesn’t Correlate with Save Percentage,,Dawson Sprigings,2014,Evaluation,Don't Tell Me About Heart,"Corsi, Goalies, Save Percentage"
Why NHL players peak before age 28 or 29,,Eric Tulsky,2014,Evaluation,Washington Post,"Aging Curves, Skaters"
Adjusted Draft Year Scoring for CHL Prospects,,Rhys Jessop,2014,Evaluation,That's Offside,NHL Draft
"More on Corsi and Context, with some added predictive modeling",,Garret Hohl,2014,Measures,Hockey Graphs,Corsi
The Significance of Quality of Competition,,Domenic Galamini,2014,Measures,Blue and White Brotherhood,Quality of Competition / Quality of Teammates
A Rule of 60-40: Thoughts on Individual Player Possession Metrics,,Benjamin Wendorf,2014,Measures,Hockey Graphs,"Corsi, Skaters"
How much does matching competition matter on a team level?,,Garik16,2014,Measures,Hockey Graphs,"Competition, Quality, Skaters, Teammates"
Better Way to Compute Score-Adjusted Fenwick,,Micah Blake McCurdy,2014,Measures,Sens Stats,Corsi / Fenwick
"NHL Team History, Possession, and Winning the Stanley Cup",,Benjamin Wendorf,2014,Measures,Hockey Graphs,"Corsi, Team"
NHL Draft Pick Value Chart,,Dawson Sprigings,2014,NHL Draft,Don't Tell Me About Heart,NHL Draft
NHL Entry Draft - Drafting Goalies in the Late Rounds,,Dawson Sprigings,2014,NHL Draft,Don't Tell Me About Heart,"Goalies, NHL Draft"
Using NHL coaching changes to identify historically good and bad coaches,,Benjamin Wendorf,2014,Coaching,Hockey Graphs,"Coaching, Team"
Re-evaluating Open Corsi,,Josh Weissbock,2014,Measures,The Hockey Writers,"Zone Entries/Exits/Starts, Corsi"
Shot Location Data and Strategy II: Evaluating Individual Defensive Play,,Matt Cane,2014,Evaluation,Puck++,"Defense, Shot Quality, Skaters"
Score-Adjusted PDO,,Petbugs,2014,Miscellaneous,Hockey Graphs,"PDO, Team"
Schedule Adjustment for Counting Stats,,Micah Blake McCurdy,2014,Measures,Hockey Graphs,Corsi / Fenwick
Adjusting Scoring Rate for Age in CHL Prospects,,Rhys Jessop,2014,Evaluation,That's Offside,NHL Draft
Remembering Dellow: A few graphs to convince you on Corsi,,Garret Hohl,2014,Measures,Hockey Graphs,Corsi
The People Pushing the NHL Into the Advanced Stats Era,,Eric Tulsky,2014,Measures,FiveThirtyEight,Zone Entries / Exits / Starts
The Influence of Face-offs and Zone Starts on Corsi,,Michael Parkatti,2014,Measures,Boys on the Bus,Corsi / Fenwick
Adjusted Save Percentage: Measuring the Impact Defense has on Goaltending Statistics,,Cam Lawrence,2014,Evaluation,Canucks Army,Goalies
Adjusting Possession Measures,,Micah Blake McCurdy,2014,Measures,Hockey Graphs,"Corsi, Fenwick"
Introducing Weighted Shots Differential,,Tom Tango,2014,Evaluation,Tango Tiger,Skaters
Corsi vs Tango - Do We Need to Adopt Weighted Shot Differential,,Nick Mercadante,2014,Measures,Blueshirt Banter,"Tango, Weighted Shots, Corsi"
From Winger to Center: How players are affected by moving positions,,Matt Pfeffer,2014,Evaluation,Progressive Hockey,"Skaters, Positions"
NHL Goaltending - Best Friend or Worst Enemy?,,Dawson Sprigings,2014,Evaluation,Don't Tell Me About Heart,Goalies
dCorsi - Introductions,,Steve Burtch,2014,Evaluation,NHL Numbers,"Corsi, Fenwick, Skaters"
How Long Does it Take For a Forward’s Shooting Percentage to Stabilize?,,Dawson Sprigings,2014,Evaluation,Don't Tell Me About Heart,"Shooting Percentage, SH%, Skaters"
A Hot Goalie Isn't a Better Goalie,,Neil Paine,2014,Evaluation,FiveThirtyEight,Goalies
What to expect when you're expecting: Does switching NHL head coaches make a difference?,,Benjamin Wendorf,2014,Coaching,Hockey Graphs,"Coaching, Team"
The Statistical Argument Against Fighting,,Benjamin Wendorf,2014,Fighting,The Hockey News,"Fighting, Skaters"
The Impact of Winning Faceoffs in Different Zones,,Michael Parkatti,2014,Evaluation,Boys on the Bus,Faceoffs
Possession Isn't Everything...with the Exception of Defensemen,,Domenic Galamini,2014,Evaluation,Own The Puck,"Defensemen, Skaters"
Defensemen still have no substantial and sustainable control over save percentage,,Garret Hohl,2014,Evaluation,Hockey Graphs,"Defenders, Skaters"
"The Road to WAR (for Hockey), Part 1: The Single-Number Dream",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,Skaters
How Well Do Goalies Age? A look at a goalie aging curve,,Garik16,2014,Evaluation,Hockey Graphs,"Goalies, Marcels, Aging Curve"
"The Road to WAR (for Hockey), Part 2: All Rate Now",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,Skaters
"The Road to WAR (for Hockey), Part 3: Shot Quality Assurance, Plus A Bonus on Travel Fatigue",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,Skaters
"The Road to WAR (for Hockey), Part 4: You Can’t Spell “An Incremental Improvement” without Two Teams",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,Skaters
"The Road to WAR, Part 9: Historical Shooting and Goaltending",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,"Skaters, WAR"
"The Road to WAR, Part 8: Penalties Taken and Drawn",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,"Skaters, WAR"
"The Road to WAR, Part 7: What Do We Mean by ""Replacement""? A Case Study with Faceoffs",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,"Faceoffs, Skaters, WAR"
"The Road to WAR, Part 11: Shot Rates For And Against, or that quality we deliberately avoid calling ""possession""",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,"Skaters, WAR"
Forecasting Future Goalie Performance with Four Year Hockey Marcels,,Garik16,2014,Evaluation,Hockey Graphs,"Goalies, Marcels"
"The Road to WAR, Part 10: Modern Goaltending and Shooting",,A.C. Thomas,2014,Evaluation,WAR-on-Ice,"Skaters, WAR"
"Assessing The Offensive Productivity Of NHL Players Using In-Game Win Probabilities""",,Stephen Pettigrew,2015,Evaluation,Sloan Sports Conference,"Win Probability, Added Goal Value, Poisson Distribution"
Shift Start Location Adjustment,,Micah Blake McCurdy,2015,Measures,Hockey Viz,Zone Entries/Exits/Starts
Ice-time Is Not The Cause of Score Effects,,Micah Blake McCurdy,2015,Measures,Hockey Viz,Corsi / Fenwick
"Shift Starts and Ends, Part 2",,Micah Blake McCurdy,2015,Measures,Hockey Viz,Corsi / Fenwick
How can we measure a goalie's rebound control? Examining Pekka Rinne and James Reimer,,Matt Cane,2015,Evaluation,Hockey Graphs,"Goalies, Rebounds"
Why Teams Should Use 4 Forwards on the Powerplay,,Matt Cane,2015,Measures,Hockey Graphs,Powerplay
Eventual NHL Success in ECHL Prospects,,Josh Weissbock,2015,Evaluation,Hockey Graphs,NHL Draft
Price vs. Dubnyk: How NHL GMs overvalue goalies,,Steve Burtch,2015,Evaluation,Sportsnet,"Goalies, HDSV%, High-Danger, Save Percentage"
Who are NHL coaches playing more with the (big) lead?,,Benjamin Wendorf,2015,Evaluation,Hockey Graphs,"Leading, Skaters, Time on Ice Percentage, TOI%"
"Increasingly in the NHL, the Best Defense is a Good Offense",,Benjamin Wendorf,2015,Evaluation,Hockey Graphs,"Corsi, Skaters"
Corsi Plus-Minus: Individual Player Value Accounting for Teammates,,Dawson Sprigings,2015,Measures,Don't Tell Me About Heart,"Corsi, Fenwick"
"Hurricanes, Preds excel in multi-shot shifts",,Travis Yost,2015,Measures,TSN,"Corsi, Shifts"
Using Marcels to Forecast Player Performance in Hockey,,Domenic Galamini,2015,Evaluation,Own The Puck,Skaters
How to Build a Contender - Part 4: The Difficulty of Acquiring Elite Talent,,Cam Lawrence,2015,Evaluation,Canucks Army,"Draft, Free Agency, NHL, Skaters, WAR"
Canadian Dollar Volatility and the Salary Cap,,Cam Lawrence,2015,NHL Free Agency,Canucks Army,"Free Agency, NHL"
Distribution of Quality of Competition and Teammates Metrics,,Conor Tompkins,2015,Measures,Hockey Graphs,Quality of Competition / Teammates
The Limits of Observation,,Kent Wilson,2015,Application,NHL Numbers,"Observation, Eye Test"
Measuring responses to incentives in the National Hockey League using behavioral modifications,,Michael Lopez,2015,Miscellaneous,Stats By Lopez,"Expected Goals, Game State"
Predicting Free Agent Salaries,,Matt Cane,2015,NHL Free Agency,Puck++,"Free Agency, NHL"
Clearing the Defensive Zone: Dangers of Dumping the Puck Out,,Jen Lute Costella,2015,Measures,Jen LC 13,"Zone Exits, Dump Outs, Corsi"
Back to Basics: Offensive Zone Entries,,Jen Lute Costella,2015,Introduction,Jen LC 13,"Zone Entries, Corsi"
"Shift Starts and Ends, Part 1",,Micah Blake McCurdy,2015,Measures,Hockey Viz,Corsi / Fenwick
Goalies are Voodoo...But Improving Comparative Analysis Tools Can Help,,Nick Mercadante,2015,Evaluation,Blueshirt Banter,"Adjusted, Expected, Goalies, Goals Saved, Mercad, xGSAA"
Shot Generation and Suppression are Mostly Independent,,Micah Blake McCurdy,2015,Measures,Hockey Viz,Corsi / Fenwick
Injury cascades: Which teams are most at risk to lose more players?,,Steve Burtch,2015,Miscellaneous,Sportsnet,Injuries
How Did Bucci Do? Revisiting John Buccigross' Alex Ovechkin Goals Projection,,Benjamin Wendorf,2015,Evaluation,Hockey Graphs,"Goals, Projection"
"Another shot quality quandary: League variance, evolution, error",,Benjamin Wendorf,2015,Evaluation,Hockey Graphs,"Shot Quality, Skaters"
Rate Metrics Matter,,Conor Tompkins,2015,Evaluation,Hockey Graphs,"Metrics, Rate, Skaters"
Update: Usage Adjusted Possession Numbers,,Domenic Galamini,2015,Measures,Own The Puck,"Corsi, Fenwick, Skaters"
Prospect Cohort Success - Evaluation of Results,,Cam Lawrence,2015,NHL Draft,Hockey Graphs,"Draft, NHL, Prospects"
Clustering NHL Forwards (using k-means),,Dawson Sprigings,2015,Evaluation,Don't Tell Me About Heart,Skaters
xSV% - Save Percentage Accounting for Shot Quality,,Dawson Sprigings,2015,Evaluation,Don't Tell Me About Heart,Goalies
Predicting Future NHL Scoring Success with NHLe Thesholds and Related Factors,,Byron Bader,2015,Evaluation,NHL Numbers,"NHL Draft, Prospects, Projections"
Trading Off: How much possession can my team surrender and still win?,,Benjamin Wendorf,2015,Evaluation,Hockey Graphs,"Corsi, Team"
Hockey Refs Are Out to Get You (If They Already Got The Other Guy),,Noah Davis,2015,Measures,Five Thirty Eight,Penalties
Why Possession and Zone Entries Matter: Two Quick Charts,,Benjamin Wendorf,2015,Measures,Hockey Graphs,"Skaters, Zone Entries"
Updated xSV% - Save Percentage Accounting for Shot Quality,,Dawson Sprigings,2015,Evaluation,Don't Tell Me About Heart,Goalies
How to Build a Contender - Part 3: Cap Management,,Cam Lawrence,2015,Evaluation,Canucks Army,"Free Agency, NHL, Skaters, WAR"
How Hard is it to Find Good NHL Goaltending?,,Nick Emptage,2015,Evaluation,Hockey Graphs,Goalies
Maximizing Predictive Ability by Regressing On-ice Percentages (at the Player Level),,Domenic Galamini,2015,Evaluation,Own The Puck,Skaters
How to Build a Contender - Part 2: The Impact of Aging,,Cam Lawrence,2015,Evaluation,Canucks Army,"Aging Curves, Skaters, WAR"
Exploring the Impact of New NHL Coaches and GMs,,Carolyn Wilke,2015,Coaching,Hockey Graphs,"Coaching, General Management, Team"
"How to Build a Contender - Part 1: WAR, What is it Good For?",,Cam Lawrence,2015,Evaluation,Canucks Army,"Skaters, WAR"
Big Deals for Big Hitters: How Physical Players Age,,Cam Lawrence,2015,Evaluation,Hockey Graphs,"Aging Curves, Skaters"
Prediction Model Oscar,,Micah Blake McCurdy,2015,Models,Hockey Viz,"Prediction, Team"
A Deep Look Into Advanced Shootout Statistics,,Steve Ness,2015,Evaluation,Business of Hockey,Shootout
Estimating the Monetary Value of a Draft Pick,,Matt Cane,2015,Measures,Puck++,NHL Draft
"How much do zone starts matter part II: A lot on their own, not that much in aggregate",,Matt Cane,2015,Measures,Puck++,"Skaters, Zone Starts"
Draft Analytics: Unveiling the Prospect Cohort Success Model,,Josh Weissbock,2015,Evaluation,Jets Nation,NHL Draft
Predicting Save Percentage: Danger Zones and Shot Volumes,,Matt Cane,2015,Evaluation,Puck++,"Goalies, Save Percentage, Shot Quality, SV%"
Reasons Behind the Failure to Accurately Evaluate NHL Defensemen,,Domenic Galamini,2015,Evaluation,Own The Puck,"Defensemen, Skaters"
How much do zone starts matter part I: (Maybe) not as much as we thought,,Matt Cane,2015,Measures,Puck++,"Skaters, Zone Starts"
"Expected Goals are a Better Predictor of Future Scoring than Corsi, Goals",,Dawson Sprigings,2015,Measures,Hockey Graphs,"Expected Goals, Shot Quality"
NHL Expected Goals Model,,Dawson Sprigings,2015,Measures,Don't Tell Me About Heart,"Expected Goals, Shot Quality"
xSV% is a Better Predictor of Goaltending Performance than Existing Models,,Dawson Sprigings,2015,Evaluation,Hockey Graphs,"Expected, Goalies, Save Percentage, xSV%"
Why Some Older Players Decline and Some Don’t,,Dawson Sprigings,2015,Evaluation,Don't Tell Me About Heart,"Aging Curves, Skaters"
Updated NHL Expected Goals Model,,Dawson Sprigings,2015,Measures,Don't Tell Me About Heart,"Expected Goals, Shot Quality"
Using Cluster Analysis to Identify Player Position,,Conor Tompkins,2015,Evaluation,Hockey Graphs,"Cluster Analysis, Skaters"
"Two years of research, 1230 games watched: Why neutral zone play is much more important than you think",,Dom Luszczyszyn,2015,Measures,The Hockey News,Zone Entries/Exits/Starts
Sunday is a day for relaxing. Just ask the NHL,,Michael Lopez,2015,Miscellaneous,Stats By Lopez,"Sunday, Scoring"
Draft Theory: On Risk and Reward,,Cam Lawrence,2015,NHL Draft,Canucks Army,"Draft, NHL, Prospects"
"Sbisa, the Sens, and the Scramble: Evaluating Defensive Play Following a Shot Attempt",,Matt Cane,2015,Evaluation,Hockey Graphs,Defenders
Expected Goals Just Don't Add Up - They Also Multiply,,Danny Page,2015,Measures,Medium,"Expected Goals, Shot Quality"
"Analytics, not statistics, driving NHL evolution",,Arik Parnass,2015,Introduction,NHL.com,Analytics
Has the NHL's New Faceoff Rule Increased Goal Scoring?,,Arik Parnass,2015,Evaluation,Hockey Graphs,"Faceoffs, Scoring"
Predicting the Playoffs with Puck Possession,,Travis Yost,2015,Evaluation,TSN,"Playoffs, Prediction"
Establishing AHL Baselines For Prospect Success,,Josh Weissbock,2015,Evaluation,Canucks Army,"Defensemen, Prospects, AHL, Scoring, Aging Curves"
"Rebounds, Extended Zone Time, and the Quest for More Offense",,Adam Stringham,2015,Evaluation,Hockey Graphs,"Shots, Team, Zone Time"
"The Road to WAR (for Hockey), Part 5: Getting Goals Above Baseline",,A.C. Thomas,2015,Evaluation,WAR-on-Ice,Skaters
Back-to-backs and goalie performance,,A.C. Thomas,2015,Evaluation,WAR-on-Ice,"Back-to-Back, Goalies"
Generating Offense and Shots Per Entry,,Alex Novet,2015,Measures,Fancy Stats Island,Zone Entries/Exits/Starts
Analyzing the Value of NHL Draft Picks,,Steve Burtch,2015,Evaluation,Sportsnet,"NHL Draft, Prospects, Draft Pick Value"
Penalty Killing Metrics and Pitfalls in Evaluating Success,,Jen Lute Costella,2015,Measures,Jen LC 13,Penalty Kill
"Draft By Numbers - Using Data and Analytics to Improve
National Hockey League (NHL) Player Selection",,Michael Schuckers,2016,Evaluation,Sloan Sports Conference,"NHL Draft, GAM, Poisson"
Means and Factors,,Mike Fail,2016,Introduction,Imgur,"Inputs, Outputs"
Assessing the Impact of Deployment on Individual Shorthanded Shot Suppression,,Prashanth Iyer,2016,Measures,Winging It In Motown,"Penalty Kill, Shorthanded"
Exploring the distributions of shot rates,,Arvind Shrivats,2016,Measures,Pension Plan Puppets,"Shots, Distribution"
What can we learn by examining the distribution of scoring,,Arvind Shrivats,2016,Measures,Pension Plan Puppets,"Scoring, Distribution"
Can Players Maintain or Increase Their Performance with an Increased Role?,,Steve Ness,2016,Evaluation,Business of Hockey,"Corsi / Fenwick, Roles, Shots"
Drafting Incentives,,Micah Blake McCurdy,2016,Evaluation,Hockey Viz,NHL Draft
Composite Tailored Regression Modeling for Evaluative Ratings in Professional Hockey,,Emmanuel Perry,2016,Evaluation,Corsica,Skaters
1-2-3 Let's Have Fun: Getting Started With Hockey Analytics,,Madeupcall,2016,Introduction,Corsica,"Corsi, Possession, Primers, R, Regression, Score Effects"
Bootstrapping QoT/QoC and the Sedin Paradox,,Emmanuel Perry,2016,Measures,Corsica,Quality of Competition / Teammates
Quantifying the Importance of Handedness,,Domenic Galamini,2016,Evaluation,Hockey Graphs,"Defensemen, Skaters"
Diamongs in the Rough: Finding Elite Talent Late,,Byron Bader,2016,Evaluation,Oilers Nation,"NHL Draft, Prospects, NHLe"
Passing Project: Dangerous Shot Contributions,,Loserpoints,2016,Measures,Hockey Graphs,Shot Quality
Adjustments Explained,,Emmanuel Perry,2016,Measures,Corsica,"Corsi / Fenwick, Shots"
Are Quality Starts a Repeatable Skill?,,Draglikepull,2016,Evaluation,NHL Numbers,Goalies
Draft pick valuation and the likelihood of goaltenders making the NHL,,Steve Burtch,2016,Evaluation,NHL Numbers,"Goalies, NHL Draft"
Delta Box Score: a Model for Predicting Player Scoring Independent of Teammate Quality,,Dawson Sprigings,2016,Evaluation,Hockey Graphs,Skaters
Does aggressive play on the penalty kill pay off?,,Matt Cane,2016,Measures,Hockey Graphs,"Penalty Kill, Shorthanded, Special Teams"
Why Deterrents Are Irrelevant,,Ryan Stimson,2016,Measures,Hockey-Graphs,"Hits, Deterrent"
Which OHLers have the best shot at being NHL snipers?,,Steve Burtch,2016,Evaluation,Sportsnet,NHL Draft
Can defensemen control rebound opportunities? Putting the eye test to the test,,Petbugs,2016,Evaluation,Hockey Graphs,"Defenders, Skaters"
WoodMoney: A new way to figure out quality of competition in order to analyze NHL data,,Darcy McLeod,2016,Measures,Because Oilers,Quality of Competition
Introducing DEV,,Zac Urback,2016,Evaluation,Prospect-Stats,"Prospects, DEV"
Digging Into Coaching Numbers,,Conor Tompkins,2016,Coaching,Hockey Graphs,
"Shot Quality and Save Percentage Revisited, Again…",,Garret Hohl,2016,Measures,Hockey Graphs,Shot Quality
CrowdScout Score and Salary - A Study in Market Value,,Cole Anderson,2016,Evaluation,Crowd Scout Sports,"Free Agency, NHL"
Which historical statistics best predict future scoring rates?,,Travis Yost,2016,Evaluation,TSN,"Projection, Scoring"
"How much is the ""best fourth line in hockey"" worth?",,Garret Hohl,2016,Evaluation,Hockey Graphs,Skaters
Tactalytics: Using Data to Inform Tactical Neutral Zone Decisions,,Ryan Stimson,2016,Measures,Hockey Graphs,Zone Entries / Exits / Starts
Testing and Final Remarks,,Dawson Sprigings,2016,Evaluation,Hockey Graphs,Skaters
AdjGSAxGA/60 - A(nother) Different Look at Goaltending,,Ian Fleming,2016,Evaluation,NHL Numbers,"Adjusted, Goalies, Goals Saved"
Re-Tooling the Rebuild - An Auction Based Entry Draft System,,Cole Anderson,2016,MIscellaneous,Crowd Scout Sports,NHL Draft
Redefining Shot Quality: One Pass at a Time,,Ryan Stimson,2016,Measures,Hockey Graphs,Shot Quality
Predicting Shot Differentials for NCAA Players,,Ryan Stimson,2016,Evaluation,Hockey Graphs,"Corsi / Fenwick, NHL Draft"
